specialty,task_type,task_size,difficulty,user_level,actual_minutes
Computer Networks,Security Auditing,15,2,2,208
Computer Networks,Reading Protocols,24,2,1,466
Computer Networks,Lab Simulation,2,2,3,24
Software Engineering,Code Review,17,2,1,421
Computer Networks,Reading Protocols,12,2,2,175
Software Engineering,Writing Code,7,1,3,43
Artificial Intelligence,Model Training,9,1,1,135
Software Engineering,Reading Documentation,14,2,1,235
Artificial Intelligence,Model Training,4,1,3,27
Computer Networks,Security Auditing,8,3,2,195
Computer Networks,Lab Simulation,24,2,1,401
Computer Networks,Lab Simulation,1,1,2,9
Software Engineering,Code Review,8,1,3,62
Software Engineering,Reading Documentation,5,3,2,123
Computer Networks,Configuring Routers,8,2,1,196
Software Engineering,Reading Documentation,12,2,3,100
Software Engineering,Reading Documentation,5,3,3,65
Artificial Intelligence,Math/Algorithm Review,9,2,1,202
Software Engineering,Reading Documentation,7,2,2,88
Computer Networks,Lab Simulation,15,2,1,321
Computer Networks,Reading Protocols,19,1,3,137
Artificial Intelligence,Reading Research Papers,12,1,3,94
Computer Networks,Network Troubleshooting,23,3,1,668
Artificial Intelligence,Data Preprocessing,20,2,1,380
Artificial Intelligence,Math/Algorithm Review,9,2,2,111
Computer Networks,Configuring Routers,20,2,3,176
Artificial Intelligence,Model Training,3,2,1,61
Artificial Intelligence,Reading Research Papers,22,1,1,276
Software Engineering,Reading Documentation,2,2,2,38
Computer Networks,Reading Protocols,24,1,2,272
Software Engineering,Code Review,2,2,2,24
Software Engineering,Reading Documentation,20,2,1,368
Artificial Intelligence,Math/Algorithm Review,19,2,1,374
Computer Networks,Network Troubleshooting,8,1,1,117
Software Engineering,Debugging,23,2,2,300
Software Engineering,Code Review,17,1,1,210
Software Engineering,System Design,23,2,1,499
Artificial Intelligence,Data Preprocessing,24,3,3,379
Artificial Intelligence,Reading Research Papers,3,2,3,29
Computer Networks,Lab Simulation,9,1,1,85
Artificial Intelligence,Writing Code,16,2,2,245
Software Engineering,Code Review,19,2,1,437
Artificial Intelligence,Writing Code,19,3,2,411
Computer Networks,Configuring Routers,5,1,2,58
Computer Networks,Configuring Routers,17,3,2,400
Software Engineering,System Design,24,2,2,327
Computer Networks,Reading Protocols,1,1,1,12
Computer Networks,Network Troubleshooting,10,3,2,189
Artificial Intelligence,Model Training,15,3,1,525
Software Engineering,Writing Code,9,2,1,182
Software Engineering,Debugging,23,2,1,412
Computer Networks,Configuring Routers,4,2,2,59
Artificial Intelligence,Reading Research Papers,19,2,1,392
Artificial Intelligence,Math/Algorithm Review,22,2,1,386
Artificial Intelligence,Math/Algorithm Review,5,2,2,77
Artificial Intelligence,Writing Code,20,2,2,233
Software Engineering,Debugging,10,2,2,134
Computer Networks,Network Troubleshooting,5,1,1,50
Computer Networks,Configuring Routers,12,2,1,224
Artificial Intelligence,Data Preprocessing,8,3,2,155
Software Engineering,System Design,22,2,1,364
Artificial Intelligence,Data Preprocessing,14,1,1,194
Artificial Intelligence,Reading Research Papers,5,2,1,51
Software Engineering,System Design,23,1,3,130
Artificial Intelligence,Reading Research Papers,10,2,2,152
Computer Networks,Network Troubleshooting,17,3,2,417
Artificial Intelligence,Math/Algorithm Review,1,2,2,14
Software Engineering,Debugging,11,1,1,160
Computer Networks,Network Troubleshooting,19,2,1,316
Artificial Intelligence,Model Training,2,1,2,23
Artificial Intelligence,Writing Code,18,2,3,203
Software Engineering,Code Review,10,2,2,157
Computer Networks,Configuring Routers,3,2,1,54
Artificial Intelligence,Writing Code,12,2,2,202
Software Engineering,Reading Documentation,9,2,2,81
Software Engineering,Reading Documentation,19,2,1,378
Software Engineering,Reading Documentation,12,2,3,117
Artificial Intelligence,Writing Code,5,1,1,87
Computer Networks,Lab Simulation,4,3,2,109
Computer Networks,Security Auditing,9,2,2,137
Software Engineering,System Design,8,1,3,49
Software Engineering,Reading Documentation,8,2,1,166
Software Engineering,Writing Code,13,2,1,181
Artificial Intelligence,Math/Algorithm Review,7,2,1,174
Artificial Intelligence,Reading Research Papers,20,1,1,320
Software Engineering,Code Review,17,1,2,182
Software Engineering,Debugging,12,3,2,248
Software Engineering,Reading Documentation,5,1,2,47
Software Engineering,Debugging,15,2,2,285
Artificial Intelligence,Math/Algorithm Review,16,2,3,142
Artificial Intelligence,Reading Research Papers,24,2,1,472
Artificial Intelligence,Reading Research Papers,18,1,1,192
Computer Networks,Configuring Routers,9,2,3,78
Artificial Intelligence,Math/Algorithm Review,6,3,2,139
Computer Networks,Configuring Routers,2,1,3,10
Software Engineering,Writing Code,18,3,1,559
Software Engineering,Debugging,22,3,2,490
Software Engineering,System Design,6,3,2,120
Software Engineering,System Design,10,3,1,253
Computer Networks,Lab Simulation,13,1,3,85
Artificial Intelligence,Reading Research Papers,8,1,2,91
Artificial Intelligence,Reading Research Papers,1,2,2,14
Artificial Intelligence,Math/Algorithm Review,17,1,1,250
Artificial Intelligence,Math/Algorithm Review,19,3,2,494
Artificial Intelligence,Model Training,2,2,2,29
Software Engineering,Writing Code,24,3,1,676
Artificial Intelligence,Math/Algorithm Review,17,3,1,512
